YR_M,Queens Precinct,QUEENS_precinct_Crime_Cnt
2015-08,110.0,617
2015-08,111.0,239
2015-08,112.0,308
2015-08,113.0,749
2015-08,114.0,769
2015-08,115.0,677
2015-09,100.0,255
2015-09,101.0,410
2015-09,102.0,530
2015-09,103.0,758
2015-09,104.0,499
2015-09,105.0,669
2015-09,106.0,456
2015-09,107.0,377
2015-09,108.0,420
2015-09,109.0,675
2015-09,110.0,527
2015-09,111.0,226
2015-09,112.0,268
2015-09,113.0,679
2015-09,114.0,726
2015-09,115.0,644
2015-10,100.0,205
2015-10,101.0,378
2015-10,102.0,502
2015-10,103.0,741
2015-10,104.0,519
2015-10,105.0,612
2015-10,106.0,536
2015-10,107.0,409
2015-10,108.0,432
2015-10,109.0,698
2015-10,110.0,560
2015-10,111.0,256
2015-10,112.0,280
2015-10,113.0,661
2015-10,114.0,749
2015-10,115.0,695
2015-11,100.0,164
2015-11,101.0,327
2015-11,102.0,446
2015-11,103.0,687
2015-11,104.0,489
2015-11,105.0,602
2015-11,106.0,475
2015-11,107.0,409
2015-11,108.0,399
2015-11,109.0,632
2015-11,110.0,529
2015-11,111.0,284
2015-11,112.0,274
2015-11,113.0,584
2015-11,114.0,727
2015-11,115.0,609
2015-12,100.0,217
2015-12,101.0,382
2015-12,102.0,440
2015-12,103.0,703
2015-12,104.0,404
2015-12,105.0,666
2015-12,106.0,537
2015-12,107.0,396
2015-12,108.0,380
2015-12,109.0,656
2015-12,110.0,537
2015-12,111.0,249
2015-12,112.0,291
2015-12,113.0,615
2015-12,114.0,729
2015-12,115.0,579
2016-01,100.0,183
2016-01,101.0,340
2016-01,102.0,447
2016-01,103.0,673
2016-01,104.0,468
2016-01,105.0,628
2016-01,106.0,545
2016-01,107.0,347
2016-01,108.0,364
2016-01,109.0,580
2016-01,110.0,547
2016-01,111.0,230
2016-01,112.0,334
2016-01,113.0,612
2016-01,114.0,659
2016-01,115.0,522
2016-02,100.0,184
2016-02,101.0,328
2016-02,102.0,396
2016-02,103.0,602
2016-02,104.0,419
2016-02,105.0,573
2016-02,106.0,469
2016-02,107.0,339
2016-02,108.0,282
