YR_M,Manhattan Precinct,MANHATTAN_precinct_Crime_Cnt
2016-03,5.0,366
2016-03,6.0,395
2016-03,7.0,345
2016-03,9.0,453
2016-03,10.0,363
2016-03,13.0,595
2016-03,14.0,865
2016-03,17.0,282
2016-03,18.0,742
2016-03,19.0,544
2016-03,20.0,326
2016-03,22.0,17
2016-03,23.0,570
2016-03,24.0,365
2016-03,25.0,521
2016-03,26.0,272
2016-03,28.0,464
2016-03,30.0,369
2016-03,32.0,562
2016-03,33.0,440
2016-03,34.0,393
2016-04,1.0,526
2016-04,5.0,375
2016-04,6.0,374
2016-04,7.0,398
2016-04,9.0,449
2016-04,10.0,308
2016-04,13.0,584
2016-04,14.0,914
2016-04,17.0,268
2016-04,18.0,673
2016-04,19.0,577
2016-04,20.0,353
2016-04,22.0,21
2016-04,23.0,545
2016-04,24.0,360
2016-04,25.0,585
2016-04,26.0,254
2016-04,28.0,458
2016-04,30.0,333
2016-04,32.0,602
2016-04,33.0,320
2016-04,34.0,452
2016-05,1.0,507
2016-05,5.0,384
2016-05,6.0,404
2016-05,7.0,377
2016-05,9.0,475
2016-05,10.0,321
2016-05,13.0,553
2016-05,14.0,968
2016-05,17.0,257
2016-05,18.0,695
2016-05,19.0,475
2016-05,20.0,329
2016-05,22.0,24
2016-05,23.0,601
2016-05,24.0,376
2016-05,25.0,598
2016-05,26.0,286
2016-05,28.0,500
2016-05,30.0,381
2016-05,32.0,648
2016-05,33.0,322
2016-05,34.0,453
2016-06,1.0,537
2016-06,5.0,399
2016-06,6.0,387
2016-06,7.0,350
2016-06,9.0,508
2016-06,10.0,346
2016-06,13.0,555
2016-06,14.0,901
2016-06,17.0,325
2016-06,18.0,750
2016-06,19.0,583
2016-06,20.0,346
2016-06,22.0,36
2016-06,23.0,595
2016-06,24.0,415
2016-06,25.0,585
2016-06,26.0,267
2016-06,28.0,532
2016-06,30.0,375
2016-06,32.0,627
2016-06,33.0,369
2016-06,34.0,436
2016-07,1.0,507
2016-07,5.0,361
2016-07,6.0,403
2016-07,7.0,400
2016-07,9.0,509
2016-07,10.0,345
2016-07,13.0,522
2016-07,14.0,877
2016-07,17.0,288
2016-07,18.0,701
2016-07,19.0,568
2016-07,20.0,310
2016-07,22.0,42
2016-07,23.0,529
2016-07,24.0,387
2016-07,25.0,569
2016-07,26.0,230
2016-07,28.0,471
2016-07,30.0,384
2016-07,32.0,583
2016-07,33.0,410
2016-07,34.0,487
2016-08,1.0,584
2016-08,5.0,380
2016-08,6.0,431
2016-08,7.0,397
2016-08,9.0,506
2016-08,10.0,345
2016-08,13.0,585
2016-08,14.0,891
2016-08,17.0,301
2016-08,18.0,722
2016-08,19.0,578
2016-08,20.0,353
2016-08,22.0,53
2016-08,23.0,635
2016-08,24.0,439
2016-08,25.0,629
2016-08,26.0,244
2016-08,28.0,539
2016-08,30.0,420
2016-08,32.0,628
2016-08,33.0,401
2016-08,34.0,497
2016-09,1.0,536
2016-09,5.0,374
2016-09,6.0,365
2016-09,7.0,391
2016-09,9.0,481
2016-09,10.0,303
2016-09,13.0,552
2016-09,14.0,732
2016-09,17.0,250
2016-09,18.0,684
2016-09,19.0,501
2016-09,20.0,290
2016-09,22.0,40
2016-09,23.0,526
2016-09,24.0,367
2016-09,25.0,616
2016-09,26.0,217
2016-09,28.0,443
2016-09,30.0,369
2016-09,32.0,539
2016-09,33.0,343
2016-09,34.0,485
2016-10,1.0,571
